timestamp,glucose_mg_dL,trend
2026-06-23T08:00:00,108.9,Stable
2026-06-23T08:05:00,106.8,Falling
2026-06-23T08:10:00,106.8,Stable
2026-06-23T08:15:00,107.6,Stable
2026-06-23T08:20:00,107.1,Stable
2026-06-23T08:25:00,109.5,Rising
2026-06-23T08:30:00,112.4,Rising
2026-06-23T08:35:00,113.7,Stable
2026-06-23T08:40:00,115.4,Stable
2026-06-23T08:45:00,116.8,Stable
2026-06-23T08:50:00,139.6,Rising
2026-06-23T08:55:00,156.2,Rising
2026-06-23T09:00:00,172.2,Rising
2026-06-23T09:05:00,172.9,Stable
2026-06-23T09:10:00,173.8,Stable
2026-06-23T09:15:00,175.1,Stable
2026-06-23T09:20:00,177.5,Rising
2026-06-23T09:25:00,174.4,Falling
2026-06-23T09:30:00,171.6,Falling
2026-06-23T09:35:00,168.4,Falling
2026-06-23T09:40:00,165.4,Falling
2026-06-23T09:45:00,162.7,Falling
2026-06-23T09:50:00,165.6,Rising
2026-06-23T09:55:00,164.9,Stable
2026-06-23T10:00:00,167.1,Rising
2026-06-23T10:05:00,164.3,Falling
2026-06-23T10:10:00,165.5,Stable
2026-06-23T10:15:00,165.6,Stable
2026-06-23T10:20:00,165.4,Stable
2026-06-23T10:25:00,162.4,Falling
2026-06-23T10:30:00,182.1,Rising
2026-06-23T10:35:00,202.5,Rising
2026-06-23T10:40:00,220,Rising
2026-06-23T10:45:00,219.5,Stable
2026-06-23T10:50:00,217.1,Falling
2026-06-23T10:55:00,216.8,Stable
2026-06-23T11:00:00,219.1,Rising
2026-06-23T11:05:00,215.7,Falling
2026-06-23T11:10:00,218.9,Rising
2026-06-23T11:15:00,216.1,Falling
2026-06-23T11:20:00,213.8,Falling
2026-06-23T11:25:00,213.2,Stable
2026-06-23T11:30:00,214.5,Stable
2026-06-23T11:35:00,216.4,Stable
2026-06-23T11:40:00,216.9,Stable
2026-06-23T11:45:00,214.3,Falling
2026-06-23T11:50:00,215.4,Stable
2026-06-23T11:55:00,215.2,Stable
2026-06-23T12:00:00,218.6,Rising
2026-06-23T12:05:00,219.2,Stable
2026-06-23T12:10:00,207.9,Falling
2026-06-23T12:15:00,192.8,Falling
2026-06-23T12:20:00,196.1,Rising
2026-06-23T12:25:00,198.4,Rising
2026-06-23T12:30:00,197.9,Stable
2026-06-23T12:35:00,195.2,Falling
2026-06-23T12:40:00,197.8,Rising
2026-06-23T12:45:00,195.2,Falling
2026-06-23T12:50:00,192.3,Falling
2026-06-23T12:55:00,194.8,Rising
2026-06-23T13:00:00,192.4,Falling
2026-06-23T13:05:00,195.1,Rising
2026-06-23T13:10:00,192.7,Falling
2026-06-23T13:15:00,190.4,Falling
2026-06-23T13:20:00,189.5,Stable
2026-06-23T13:25:00,190.2,Stable
2026-06-23T13:30:00,188.8,Stable
2026-06-23T13:35:00,189.3,Stable
2026-06-23T13:40:00,188.4,Stable
2026-06-23T13:45:00,189.7,Stable
2026-06-23T13:50:00,190.9,Stable
2026-06-23T13:55:00,187.8,Falling
